City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,Srednekolymsk,67.45,153.6833,-21.42,92,100,5.26,RU,1674629036
280,Panguipulli,-39.6333,-72.3333,42.94,91,2,2.53,CL,1674629037
281,Dankov,53.2515,39.1555,21.76,86,100,5.3,RU,1674629037
282,Saskylakh,71.9167,114.0833,-13.67,98,100,5.88,RU,1674629038
283,Racibórz,50.0919,18.2193,34.43,96,100,6.76,PL,1674629038
284,Narowal,32.1,74.8833,58.89,80,98,6.24,PK,1674629039
285,Darhan,49.4867,105.9228,-5.85,79,51,3.04,MN,1674629040
286,Harrisonburg,38.4496,-78.8689,37.56,80,0,0.0,US,1674628957
287,Jatibonico,21.9419,-79.17,66.97,94,0,5.86,CU,1674629041
288,Tooele,40.5308,-112.2983,25.95,96,100,1.01,US,1674628511
289,Manaure,11.7751,-72.4445,77.07,70,95,22.01,CO,1674629042
290,Ures,29.4333,-110.4,48.56,28,0,5.99,MX,1674629042
291,Gravdal,68.1214,13.5031,33.69,100,75,4.61,NO,1674629043
292,Dalvik,65.9702,-18.5286,31.93,94,95,6.93,IS,1674629043
293,Molepolole,-24.4066,25.4951,77.14,26,0,7.47,BW,1674629044
294,Polunochnoye,60.8697,60.4153,16.47,76,27,9.84,RU,1674629045
295,Khedbrahma,24.0333,73.05,74.5,21,0,6.89,IN,1674629045
296,Emilio Carranza,19.9711,-96.6114,73.17,77,0,5.55,MX,1674629046
297,Kostrzyn,52.3985,17.2281,32.99,94,83,2.26,PL,1674629047
298,Curillo,1.0333,-75.9191,68.77,95,27,1.88,CO,1674629047
299,San Antonio,29.4241,-98.4936,46.17,63,0,16.11,US,1674628802
300,Fortuna,40.5982,-124.1573,43.99,92,0,9.22,US,1674629048
301,Golspie,57.9727,-3.978,50.14,83,100,13.8,GB,1674629049
302,Necochea,-38.5473,-58.7368,58.14,60,0,5.1,AR,1674629050
303,Nanortalik,60.1432,-45.2371,36.41,92,100,46.1,GL,1674629050
304,Prince Rupert,54.3161,-130.3201,46.49,92,100,31.07,CA,1674628802
305,Coyhaique,-45.5752,-72.0662,49.95,66,100,2.3,CL,1674628805
306,Kudahuvadhoo,2.6708,72.8944,79.99,76,89,7.49,MV,1674629052
307,Paamiut,61.994,-49.6678,37.06,70,100,55.25,GL,1674629052
308,Mossamedes,-15.1961,12.1522,76.64,77,60,2.86,AO,1674629053
309,Cuiluan,47.72,128.648,-3.91,81,98,7.16,CN,1674629054
310,Teterow,53.7833,12.5667,30.49,96,7,5.77,DE,1674629054
311,Tautira,-17.7333,-149.15,80.65,82,47,16.93,PF,1674629055
312,Rocha,-34.4833,-54.3333,61.09,67,2,6.93,UY,1674628826
313,Fairbanks,64.8378,-147.7164,6.22,79,75,3.44,US,1674628913
314,Vila Velha,-20.3297,-40.2925,75.15,97,100,2.3,BR,1674629057
315,Muncar,-8.4333,114.3333,83.01,75,100,8.03,ID,1674629057
316,Mosjøen,65.836,13.1908,45.12,87,75,5.01,NO,1674628896
317,Arroyo de la Encomienda,41.6096,-4.7969,34.59,81,75,9.22,ES,1674629058
318,Nayāgarh,20.1333,85.1,87.55,22,14,3.69,IN,1674629059
319,Grindavik,63.8424,-22.4338,34.27,75,40,24.16,IS,1674629060
320,Rio Grande,-32.035,-52.0986,69.91,84,1,7.36,BR,1674629060
321,Kushima,31.4583,131.2333,43.05,33,0,4.92,JP,1674629061
322,Osmeña,10.5208,119.9258,79.47,80,6,26.24,PH,1674629062
323,Ibrā’,22.6906,58.5334,65.28,48,1,0.87,OM,1674629062
324,Fougamou,-1.2154,10.5838,75.92,93,100,1.61,GA,1674629063
325,Poya,-21.35,165.15,81.95,83,85,6.51,NC,1674629064
326,Batemans Bay,-35.7167,150.1833,75.09,66,11,10.85,AU,1674629064
327,Gushikawa,26.3544,127.8686,60.03,58,100,9.22,JP,1674629065
328,Pemberton,50.3164,-122.8027,34.86,97,89,2.15,CA,1674629065
329,Povenets,62.8487,34.8262,33.21,96,100,19.39,RU,1674629066
330,Dzyhivka,48.359,28.3158,27.66,73,100,3.71,UA,1674629067
331,Hambantota,6.1241,81.1185,86.34,70,40,4.61,LK,1674629067
332,Margate,51.3813,1.3862,37.9,85,3,5.26,GB,1674629068
333,Korla,41.7597,86.1469,19.08,50,5,1.63,CN,1674629069
334,Samaná,19.2056,-69.3369,72.52,75,0,6.8,DO,1674629069
335,Mairana,-18.1167,-63.9333,59.29,99,100,1.88,BO,1674629070
336,Ipixuna,-1.7625,-48.8043,71.46,98,89,2.68,BR,1674629070
337,Liberia,6.5,-9.5,70.11,99,100,2.08,LR,1674629071
338,Sudak,44.85,34.9667,39.83,77,2,6.89,UA,1674629072
339,Boyuibe,-20.4167,-63.2833,67.68,95,100,2.51,BO,1674629073
340,Stornoway,58.2093,-6.3865,44.92,85,40,13.8,GB,1674629074
341,Shahrud,36.4182,54.9763,30.45,46,0,3.47,IR,1674629074
342,Pizarro,4.9533,-77.366,75.38,93,56,6.17,CO,1674629075
343,Koumac,-20.5667,164.2833,82.29,78,66,4.61,NC,1674629076
344,Arti,56.4234,58.5328,10.81,95,100,8.97,RU,1674629076
345,Cockburn Town,21.4612,-71.1419,76.91,73,2,19.73,TC,1674629077
346,Bodden Town,19.2833,-81.25,77.0,76,5,1.99,KY,1674629078
347,Marsh Harbour,26.5412,-77.0636,73.96,75,90,14.65,BS,1674629078
348,Kushmurun,52.4503,64.6311,9.79,92,19,13.29,KZ,1674628878
349,Kodinsk,58.6881,99.1844,-10.39,93,88,1.52,RU,1674629079
350,Raipur,21.2333,81.6333,84.34,42,12,5.75,IN,1674628937
351,Ledyard Center,41.4398,-72.0142,38.32,79,75,3.44,US,1674629080
352,Maragogi,-9.0122,-35.2225,75.25,80,10,5.3,BR,1674629081
353,São José da Coroa Grande,-8.8978,-35.1478,75.87,76,11,5.79,BR,1674629082
354,Vardø,70.3705,31.1107,28.38,80,100,21.85,NO,1674629082
355,Oranjemund,-28.55,16.4333,65.07,63,1,15.77,NA,1674629083
356,Zhigansk,66.7697,123.3711,-51.25,98,39,4.9,RU,1674629084
357,Samfya,-11.3649,29.5565,71.82,78,84,7.63,ZM,1674629085
358,Tromsø,69.6496,18.957,32.02,93,75,9.22,NO,1674629085
359,San Juan,-31.5375,-68.5364,72.99,53,12,15.12,AR,1674629086
360,Grand Gaube,-20.0064,57.6608,75.6,88,100,3.0,MU,1674629087
361,Port-Gentil,-0.7193,8.7815,78.76,100,20,3.44,GA,1674629087
362,Dunedin,-45.8742,170.5036,62.8,82,72,1.99,NZ,1674629088
363,Madera,37.1666,-119.8343,47.25,94,0,3.98,US,1674628915
364,Kulhudhuffushi,6.6221,73.07,79.25,80,98,12.06,MV,1674629089
365,Tubualá,9.5167,-79.0333,79.07,86,100,13.09,PA,1674629089
366,Idlib,35.9306,36.6339,49.84,58,0,3.69,SY,1674629090
367,Yamada,39.4667,141.95,21.54,49,43,17.85,JP,1674629090
368,Nur-Sultan,51.1801,71.446,3.15,85,40,6.71,KZ,1674629010
369,Cayenne,4.9333,-52.3333,69.84,94,20,0.0,GF,1674629091
370,Sisimiut,66.9395,-53.6735,17.74,71,100,15.19,GL,1674629092
371,Victor Harbor,-35.5667,138.6167,76.68,69,25,3.0,AU,1674629093
372,Dongxing,45.3667,130.8,2.68,69,28,8.25,CN,1674629093
373,Upernavik,72.7868,-56.1549,5.18,93,99,4.14,GL,1674629094
374,Amahai,-3.3333,128.9167,83.44,74,100,3.62,ID,1674629095
375,Béjar,40.3864,-5.7634,26.58,85,36,6.64,ES,1674629095
376,Lata,40.1629,-8.3327,36.91,83,3,4.79,PT,1674629096
